year,type,value
2001,others,67.38805970149252
2002,animals,6.268656716417922
2002,farmers,5.223880597014954
2002,fertilizers,151.49253731343276
2002,fuels,105.78358208955223
2002,others,67.12686567164178
2003,animals,7.574626865671661
2003,farmers,4.179104477611958
2003,fertilizers,153.8432835820895
2003,fuels,105.78358208955223
2003,others,66.43034825870643
2004,animals,7.31343283582089
2004,farmers,4.70149253731347
2004,fertilizers,153.5820895522387
2004,fuels,105.52238805970148
2004,others,64.7761194029851
2005,animals,6.791044776119406
2005,farmers,4.70149253731347
2005,fertilizers,146.26865671641787
2005,fuels,106.04477611940297
2005,others,67.03980099502485
2006,animals,7.5746268656716325
2006,farmers,4.179104477611986
2006,fertilizers,147.31343283582083
2006,fuels,105.78358208955223
2006,others,62.42537313432837
2007,animals,7.31343283582089
2007,farmers,4.179104477611986
2007,fertilizers,153.93034825870637
2007,fuels,105
2007,others,64.55845771144277
2008,animals,7.31343283582089
2008,farmers,4.179104477611986
2008,fertilizers,139.99999999999994
2008,fuels,105
2008,others,66.3432835820895
2009,animals,7.05223880597012
2009,farmers,3.9179104477612157
2009,fertilizers,125.80845771144274
2009,fuels,105.26119402985077
2009,others,67.86691542288554
2010,animals,7.31343283582089
2010,farmers,3.656716417910445
2010,fertilizers,129.2910447761194
2010,fuels,105
2010,others,63.47014925373128
2011,animals,6.5298507462686075
2011,farmers,4.440298507462728
2011,fertilizers,127.20149253731338
2011,fuels,105.26119402985077
2011,others,65.03731343283579
2012,animals,6.7910447761193495
2012,farmers,4.179104477611986
2012,fertilizers,125.54726368159199
2012,fuels,103.78109452736321
2012,others,66.86567164179104
2013,animals,7.31343283582089
2013,farmers,4.179104477611986
2013,fertilizers,131.90298507462683
2013,fuels,98.99253731343282
2013,others,65.82089552238807
